,FCU_FanOutletBlockage,FCU_FilterRestriction_10%,FCU_FilterRestriction_20%,FCU_FilterRestriction_50%,FCU_OABlockage,FCU_OADMPRLeak_20,FCU_OADMPRLeak_50,FCU_OADMPRLeak_80,FCU_OADMPRStuck_0,FCU_OADMPRStuck_100,FCU_OADMPRStuck_30,FCU_OADMPRStuck_50,FCU_OADMPRStuck_80,FCU_SensorBias_RMTemp_+2C,FCU_SensorBias_RMTemp_+4C,FCU_SensorBias_RMTemp_-2C,FCU_SensorBias_RMTemp_-4C,FCU_VLVLeak_Cooling_20,FCU_VLVLeak_Cooling_50,FCU_VLVLeak_Cooling_80,FCU_VLVLeak_Heating_20,FCU_VLVLeak_Heating_50,FCU_VLVLeak_Heating_80,FCU_VLVStuck_Cooling_0,FCU_VLVStuck_Cooling_100,FCU_VLVStuck_Cooling_20,FCU_VLVStuck_Cooling_50,FCU_VLVStuck_Cooling_80,FCU_VLVStuck_Heating_0,FCU_VLVStuck_Heating_100,FCU_VLVStuck_Heating_20,FCU_VLVStuck_Heating_50,FCU_VLVStuck_Heating_80,Normal
FCU_FanOutletBlockage,323,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FCU_FilterRestriction_10%,0,551,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
FCU_FilterRestriction_20%,0,2,557,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
FCU_FilterRestriction_50%,81,0,0,451,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
FCU_OABlockage,0,0,0,0,434,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,78
FCU_OADMPRLeak_20,0,0,0,0,0,253,137,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159
FCU_OADMPRLeak_50,0,0,1,0,0,164,163,193,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,163
FCU_OADMPRLeak_80,0,0,0,0,0,138,132,255,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,151
FCU_OADMPRStuck_0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_100,0,1,0,0,0,0,0,0,0,234,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_30,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_50,0,0,0,0,0,0,0,0,0,3,0,606,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_80,0,0,0,0,0,0,0,0,0,1,0,5,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_SensorBias_RMTemp_+2C,0,0,1,0,0,0,0,2,0,0,1,0,0,584,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
FCU_SensorBias_RMTemp_+4C,0,0,0,0,0,0,0,0,0,0,0,0,0,199,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_SensorBias_RMTemp_-2C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,638,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FCU_SensorBias_RMTemp_-4C,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,113,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Cooling_20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,765,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Cooling_50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,202,463,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Cooling_80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,155,458,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Heating_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,23,31,0,0,0,0,0,0,0,0,0,0,3
FCU_VLVLeak_Heating_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,161,76,0,0,0,0,0,0,0,0,0,0,1
FCU_VLVLeak_Heating_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,59,346,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,12,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,628,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0
FCU_VLVStuck_Heating_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,4
FCU_VLVStuck_Heating_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,10,205,0
FCU_VLVStuck_Heating_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1074,0,0,4
FCU_VLVStuck_Heating_50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,89,0,178,135,2
FCU_VLVStuck_Heating_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,9,187,0
Normal,0,0,8,0,0,0,0,16,0,0,0,0,0,18,0,12,2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1864
