File,Average Weighted Score,rank,exp_weights
Normal,100.0,1.0,0.084472049689441
FCU_VLVStuck_Cooling_50,41.4422149483353,2.0,0.07957617829740592
FCU_VLVLeak_Cooling_80,41.44065660812328,3.0,0.07482645232005845
FCU_VLVLeak_Cooling_50,40.77907723604157,4.0,0.07022287175739861
FCU_VLVStuck_Cooling_100,39.96034798110858,5.0,0.06576543660942638
FCU_VLVStuck_Cooling_80,39.62208391139964,6.0,0.061454146876141764
FCU_VLVStuck_Heating_0,33.502535800038686,7.0,0.05728900255754476
FCU_VLVLeak_Cooling_20,30.146490690339096,8.0,0.053270003653635364
FCU_VLVStuck_Heating_80,29.43999867125607,9.0,0.049397150164413595
FCU_VLVStuck_Heating_100,29.37162223866011,10.0,0.04567044208987943
FCU_VLVLeak_Heating_80,25.88681964826947,11.0,0.04208987943003288
FCU_VLVStuck_Cooling_20,24.372917386638367,12.0,0.03865546218487395
FCU_VLVStuck_Heating_50,24.177734783165743,13.0,0.03536719035440263
FCU_OADMPRStuck_0,21.259107629223166,14.0,0.032225063938618924
FCU_OADMPRStuck_100,21.13262744355298,15.0,0.029229082937522834
FCU_OABlockage,19.98941862486959,16.0,0.026379247351114358
FCU_VLVLeak_Heating_50,18.303596121517955,17.0,0.023675557179393496
FCU_VLVStuck_Heating_20,15.92951484329277,18.0,0.02111801242236025
FCU_FanOutletBlockage,15.908601996883739,19.0,0.018706613080014613
FCU_OADMPRStuck_80,13.141295012869197,20.0,0.016441359152356595
FCU_OADMPRStuck_50,12.14633681599609,21.0,0.01432225063938619
FCU_FilterRestriction_50%,8.616268158858748,22.0,0.012349287541103399
FCU_VLVLeak_Heating_20,8.34776739705581,23.0,0.01052246985750822
FCU_SensorBias_RMTemp_-4C,6.605034154980426,24.0,0.008841797588600658
FCU_SensorBias_RMTemp_-2C,4.042348519610666,25.0,0.007307270734380708
FCU_OADMPRLeak_80,3.67651981342632,26.0,0.005918889294848374
FCU_FilterRestriction_20%,3.05451817911052,27.0,0.004676653270003653
FCU_OADMPRLeak_50,2.5283118980263417,28.0,0.0035805626598465474
FCU_FilterRestriction_10%,1.4790030593200816,29.0,0.002630617464377055
FCU_OADMPRLeak_20,1.1369537979782522,30.0,0.001826817683595177
FCU_OADMPRStuck_30,1.0553571501280805,31.0,0.0011691633175009133
FCU_SensorBias_RMTemp_+4C,0.5818895005294807,32.0,0.0006576543660942638
FCU_VLVStuck_Cooling_0,0.4869946703283611,33.0,0.00029229082937522833
FCU_SensorBias_RMTemp_+2C,0.24379339017466378,34.0,7.307270734380708e-05
